Image,L2CA,L2CD L2 CH L2 CV,Energy,Original std,Original mean,cA5 std,cA5 mean,cD5 std,cD5 mean,cD4 mean,cD4 std,cD3 mean,cD3 std,cD2 mean,cD2 std,cD1 mean,cD1 std,Class
Extract1008.bmp,67559.595839368,7792.1600334352,495.6551672381,99.6796066713,160.847077551,397.5365391505,912.3713291385,171.0633109453,1.895530706,146.9348219142,0.0561632904,126.2973459731,-0.3878519115,49.0503238748,0.1371469342,17.2050949002,-0.0031050413,Live
Extract1008.png,71988.2357525806,5366.3432862866,235.0827776839,106.3876416446,170.2541877551,536.5235024153,965.3274182477,143.6381984318,2.4838444573,98.353833904,0.7710946259,75.759588629,0.3344245569,32.5125810437,-0.1857230035,12.5468468616,-0.0158830365,Fake
Extract1009.bmp,69150.372388527,9774.8900609988,779.9875567723,80.1678534342,178.5504897959,177.0805572739,1010.9903283992,193.6193611945,15.1294716128,178.2496728145,1.2982890004,97.5498453679,-0.14926662,49.4128955279,0.0605688432,31.4133982918,0.2959628905,Live
Extract1009.png,74509.1035725814,5610.7378464744,256.9826871989,102.8109214424,182.1123020408,490.7260271269,1032.0997625657,116.209904779,2.1200798523,86.796516751,2.0898630961,93.814603411,-0.1848494408,58.9289376255,0.1387515985,18.3666058392,0.0484917414,Fake
Extract101.bmp,65044.7313436247,6054.1562784549,300.9261760587,93.7777721293,156.1035714286,451.2889170397,885.6523148501,126.8370164187,-2.3016101503,90.8235675906,0.092457004,85.4251256279,0.062655971,37.7358739719,0.0954329453,17.5863844139,-0.0956252534,Live
Extract101.png,72854.7219144452,3643.115809599,108.3452473645,105.9427321032,173.5492,558.2140276111,983.8839801412,120.699776987,3.0362513427,74.6650791426,1.0213709482,60.7430663781,0.1305206964,24.5259831049,-0.0147965604,10.2452811145,0.04673722,Fake
Extract1010.bmp,66788.087195072,10354.1008913817,875.1624919911,81.4412239803,171.2957795918,121.4134619899,970.9538805412,114.1411730132,-5.9493570397,172.0794054583,0.5677237842,140.9286855366,0.0017935872,57.2782733674,0.2101751556,35.4399885807,-0.0157488383,Live
Extract1010.png,69579.1399164616,6282.5755195171,322.2102461913,102.1398502435,165.1472897959,453.3400333086,936.5765333978,221.761241678,-0.1391710789,144.2122949016,-1.1663969831,81.3061642378,-0.0838110676,31.4456331809,0.0328711893,13.9216738562,0.0203270547,Fake
Extract1011.bmp,78774.8846390808,8477.6540147514,586.6989191333,52.8823199972,216.0863020408,194.2570465376,1222.1029170209,139.2841568931,-1.8037201742,77.1359765349,1.3022361821,41.6188085376,-0.1911843574,28.6477388181,-0.0537864988,20.5379294877,0.05378066,Live
Extract1011.png,70465.9777149834,6000.4002611641,293.9167615851,94.7839723083,172.8449306122,341.1209695671,979.9116173596,143.2682394366,2.5105169546,166.560195328,0.4735008305,139.4772213824,-0.1037562486,38.9619701145,0.1353991048,18.4154997154,0.0792304959,Fake
Extract1012.bmp,70041.0868307829,7286.8432772436,433.4537546703,99.5991414579,169.1692734694,418.4438108587,959.2167833581,156.2863139154,-0.3832774613,119.7303523694,-0.9335779635,119.0067470855,-0.4807480729,57.9057713214,-0.152949514,19.2497337732,0.0200153962,Live
Extract1012.png,69072.9196511557,4953.3019987556,200.2873525786,103.7320919531,162.3280571429,502.8919020042,920.7026253359,127.4042667274,2.6533430166,111.3114740496,0.9913118819,96.110439711,0.270501315,35.1274050466,-0.0124419845,14.8052215529,0.0167949259,Fake
Extract1013.bmp,74817.3487767252,7867.1128824155,505.236449834,68.2966509716,200.1826693878,189.6773058577,1133.8319450793,152.5758644629,2.1947057117,158.541950011,-0.4169941646,65.2332208021,0.1460715687,34.4009796334,0.0032936269,28.8596065597,-0.098393365,Live
Extract1013.png,64950.0443166675,7207.2047771422,424.0310261197,97.6394431763,152.6054122449,450.5330955652,865.9594851562,169.8101383139,0.9094250233,135.7323377073,2.3619411674,77.2842925693,0.2935303765,33.3699688609,-0.078482498,15.7906503905,0.0545863949,Fake
Extract1014.bmp,74035.4643023478,8264.9927835354,557.6335160154,80.3665579733,192.9551836735,215.0680195232,1090.9485415156,154.8684154702,1.4558315416,186.8622668747,-0.7936867634,95.5314868276,0.0168326009,42.3965195014,-0.0637115329,31.4107704596,-0.0729815535,Live
Extract1014.png,70919.5196254184,5478.8143697208,245.0400563091,102.3823719536,169.6201142857,452.951114584,961.7658874747,181.5243508017,-4.8854681794,138.7157530743,-3.6127101453,107.2698462148,-0.0203339991,36.3185281856,-0.0244523821,11.6361240085,0.0271489112,Fake
Extract1015.bmp,63200.0940056006,8948.1743115679,653.6312123282,82.9045064038,157.9957632653,209.4559012431,896.2577555999,114.6632043801,-0.6150144554,130.9598055851,-1.6316491067,152.3464068888,0.1142383226,50.446884331,-0.0772840545,31.9747539889,0.1854612384,Live
Extract1015.png,70907.3918749571,5101.7663143328,212.4736287842,101.4547856767,170.3320653061,435.7927809468,965.7675676618,143.1335623225,-0.3782722494,127.7391070437,0.4238384515,130.0664790716,-0.2010727279,42.9789470928,-0.0661624515,15.6324993622,-0.0573913207,Fake
Extract1016.bmp,69912.2609276052,8275.8494912185,559.0994677657,87.5580065518,175.8710367347,300.7626853075,996.9305703928,137.3070384418,0.8371327657,103.2575318952,-1.545797924,140.3792630525,-0.1705742176,56.9777222644,0.148526497,25.2381513218,0.0314659953,Live
Extract1016.png,68814.3133627759,6437.3088800047,338.2771070742,100.6387216958,164.1465714286,475.2599218247,930.9418620007,114.9091266722,-0.7916423674,96.2533216896,2.3144668115,102.0763755155,-0.0782789414,48.3984031623,-0.0292096555,19.526758797,-0.0345479129,Fake
Extract1017.bmp,70088.8653271376,11784.0795378424,1133.5880045241,76.9233940351,184.0562530612,109.8404264685,1041.1889746853,97.8486492127,2.2040552791,140.1104730172,-2.5106290703,132.6321944109,-0.0459784749,61.5337438278,0.2931532096,41.6318440836,0.0051697498,Live
Extract1017.png,70507.2588957506,6046.8119844245,298.4811034692,102.9273877562,168.1949795918,462.6262468342,953.7428563831,159.8663943702,1.229464055,136.2641241206,-5.2876787061,105.4055452532,-0.648798642,42.308809912,-0.0064609777,14.5692368449,-0.0220584903,Fake
Extract1018.bmp,69916.4384836919,11836.8349822759,1143.7605093684,75.2829402314,184.2475428571,182.2185604503,1042.6015725432,131.0367645283,-1.2653729711,125.3955082604,-1.7739702876,106.5952261259,0.2583391867,60.8638217805,0.1274076186,39.008463054,0.068219136,Live
Extract1018.png,69809.0340981281,4924.0945542494,197.9323035036,104.0827940489,164.0295428571,514.0909755684,930.2830055218,115.7249733461,-2.6466518943,87.5213329746,-1.3250703399,94.2971533412,0.0341267445,43.2502353698,-0.04415546,13.6313134463,-0.0918699762,Fake
Extract1019.bmp,57565.4647368907,8217.4298474794,551.2339044755,71.8605063382,145.2010285714,175.919534464,824.2723711207,131.4590672793,5.1020328165,149.2683168237,0.5129309433,110.9712582412,-0.1403401816,42.2231530795,0.1283497058,25.4589793093,-0.0158737336,Live
Extract1019.png,74196.4376800324,5548.010373475,251.2687273811,100.0888772724,182.4161061224,458.7246314954,1033.8105400179,102.6401732948,3.8624247249,69.3280544699,-0.2406038325,102.6364158379,-0.0543479579,73.0419784115,0.0002676712,17.3812355425,0.1039438542,Fake
Extract102.bmp,70468.0083186885,7217.0253823588,425.1873907723,97.8196935415,171.6487510204,281.8260761891,973.1973750533,116.9194663813,-3.3794690635,114.9337591519,0.6959971997,175.5431774653,-0.3370551683,83.6337004646,-0.0613391597,22.3239921069,-0.0293882346,Live
Extract102.png,70195.019293227,4970.5649432191,201.6858437123,106.3140890076,164.5203265306,555.2975735753,933.0425265019,133.99867492,0.286105041,79.7962967132,-0.3713731998,54.4239429294,0.185469752,30.7497382818,0.0544737869,13.4521780385,-0.0086802641,Fake
Extract1020.bmp,69337.0945168565,8535.5657296702,594.7418965349,82.9272474863,177.5830530612,128.963066488,1005.6243789942,101.918880193,-0.762636149,205.7324345595,0.3378187568,133.3764520379,-0.203224842,51.5655590152,-0.0116976814,31.7329410458,0.1014684799,Live
Extract1020.png,72267.6217968741,5061.8725706862,209.1637054846,102.9157503081,174.1007510204,468.3424604687,986.9901849156,138.9337856615,-1.6873932335,107.6664702833,-0.9826835484,118.2072917166,0.2007290221,46.5855514783,-0.0567623042,15.0467963647,-0.0300346373,Fake
Extract1021.bmp,64183.6144398064,8133.6173549627,540.0467859343,89.5885693205,155.9304081633,287.9026030517,884.6822223174,127.5309178755,1.4427053838,147.1468740638,1.1230047591,144.2050490202,-0.1175340191,50.8287866074,0.1637067729,26.6742058146,0.1188572867,Live
Extract1021.png,71026.7870245584,4154.5149853456,140.8979164364,104.7024379125,167.7064897959,516.4027015057,950.9846437552,118.6177941879,0.3821651712,97.1265079424,0.3249418121,100.8509573554,-0.1150538757,31.8989791541,0.0078072735,11.4981255966,-0.0558561144,Fake
Extract1022.bmp,69264.5273672159,6327.0277156315,326.785956852,94.5460458542,169.2794693878,395.1920516439,959.8432165338,115.0969662487,-3.0917836546,121.1333152443,0.5571587398,124.9002853713,-0.1928012516,48.4931217918,0.0587620595,19.7546811298,-0.1730858516,Live
Extract1022.png,69376.3027246231,6559.0527043295,351.1932439034,98.0102985351,167.5644081633,386.3492618212,950.1741430301,171.5075357054,0.1679287027,150.6330334523,2.0379806793,123.6933302338,-0.3768820354,45.4190003237,-0.0455208356,19.0459589201,-0.122562559,Fake
Extract1023.bmp,67619.7567123657,6673.8972927472,363.599225095,101.8508077284,159.1905142857,413.0335420553,903.0194208275,147.1217051454,-3.121166256,169.0861520925,-0.9831795555,121.5691317232,0.5733013063,50.4415464509,0.0993906392,14.6245120838,0.0310734987,Live
Extract1023.png,72756.5195287221,5177.902819703,218.8626743697,104.6804149173,174.6279591837,502.3829005184,989.9562770632,112.0660112642,-0.4317089341,77.6759875148,-1.0912160343,103.5938902068,0.144045442,57.5799749468,-0.010378966,15.6199876337,-0.0426048602,Fake
Extract1024.bmp,70759.963465682,8634.5921048721,608.6218842246,89.1248404101,178.1071591837,243.6472787365,1009.5497137564,151.9247245087,1.7431785761,154.8136311895,0.1076581031,148.4233986556,0.0988727217,53.1749568603,-0.3085657084,28.9037647228,-0.0884763623,Live
Extract1024.png,68669.6571571969,5467.1585824252,243.9985548195,101.5263072661,162.6614040816,470.5954860667,922.5807150066,129.4038163698,6.9901521266,121.2741508192,0.7928405649,108.5183122589,-0.1300134731,38.1087753064,0.0480938056,14.7936921766,-0.0864332682,Fake
Extract1025.bmp,69368.4967130288,7056.9907850324,406.5397464492,102.2560900422,164.8950204082,427.1002866698,935.1561316408,151.9318893239,1.8110610433,118.9574371046,2.7575799545,129.8551309104,-0.2849398971,56.9393186154,0.090333323,21.7261448471,-0.1658715364,Live
Extract1025.png,71840.2497005211,5318.9920929794,230.9524643688,102.4512309825,172.8587346939,445.6746030919,979.9949744248,117.6314080282,-1.5012391003,101.9625719022,-3.7443637165,137.598588119,0.1818604889,53.723855696,0.0138035856,15.0912402544,-0.0120854209,Fake
Extract1026.bmp,60542.553712869,9101.645276508,676.2444631786,80.2879113227,150.6782612245,226.0934011215,855.1193483336,139.6634822974,-4.1717409979,160.5176576267,-1.4221308971,118.7548046803,-0.048431169,46.2684970464,0.0070334472,27.0424570295,0.185623948,Live
Extract1026.png,68631.3610797584,6185.5805747824,312.3380167112,97.6609543775,165.1863020408,384.2280770857,936.8003757766,165.3047603934,0.7069680565,139.7208145785,-1.1909518637,131.6261277334,-0.0831435342,45.8640684009,-0.0665898006,18.2282488045,0.1315660245,Fake
Extract1027.bmp,61752.3049595917,9537.3432491923,742.5380918605,68.1412829107,160.9272408163,174.367823864,912.808133811,138.5444117037,-11.6577303883,139.5588897281,-0.1620412794,86.0471645811,-0.0859968448,41.6833745386,-0.0760592392,32.9237275304,-0.1045902568,Live
Extract1027.png,71700.1553938325,5275.7898953628,227.2159920001,107.9620422943,168.3915265306,524.9187256211,954.8446515765,126.5047258142,-0.7380907401,100.4521002989,1.9646686601,105.0987594161,0.3013083935,41.8056510904,-0.0426846308,13.1055980389,-0.0369834657,Fake
Extract1028.bmp,68718.4193672712,10967.653339314,981.9544471132,69.1325968799,181.9236571429,240.6297033394,1029.8260129083,121.9498191707,-4.8099083396,108.0398996625,0.2024273155,77.0543529083,0.0713312614,43.4281716652,0.3444181171,33.4039243709,-0.0296121141,Live
Extract1028.png,69491.7806144713,4980.7687188009,214.7883725557,113.051993369,164.0952034632,581.647055625,930.7615172782,147.5776912727,-0.7419759284,99.6689467695,0.2972039868,66.3989722727,-0.3132962674,32.8167706414,-0.0645985895,11.7959827401,0.0273249595,Fake
Extract1029.bmp,73963.6626262425,10890.5616796323,968.1986424316,73.4638197081,196.6553469388,179.48432732,1111.0370367846,135.9875290147,-0.9009212618,138.2270977925,3.8552120542,100.8106638527,0.3932456792,52.7396502126,0.2477990101,36.3258110998,-0.1575091052,Live
Extract1029.png,69071.363088277,5572.7412148545,269.6955679352,107.104526936,166.6377247069,515.7871188694,945.0723131106,136.0675318322,0.8198176252,116.8691791247,-0.2118635353,99.22067919,-0.1991787406,38.0915628476,0.0403042742,15.7689118659,0.0099955703,Fake
Extract103.bmp,58850.6369318225,8819.4443618063,634.9599906204,61.5218291457,154.6704489796,148.1487092871,877.5814075799,115.565377657,-10.0043097709,126.501625228,-0.5355875058,85.9678187537,0.0773267803,38.4565551673,-0.0285571308,29.0885737493,0.0410636117,Live
Extract103.png,70228.6535257978,4811.8912264873,189.0146708208,107.0795532929,163.5631265306,552.4576093548,927.656454732,123.6830757758,1.538454087,78.999879384,-0.5360561116,69.196565724,-0.2297888456,37.8794414145,0.0021799071,13.658546553,-0.0803501576,Fake
Extract1030.bmp,74864.890582365,9330.6330672767,710.6997015197,70.0500979147,199.9030122449,148.2168071179,1132.1502799527,98.808500716,1.0812359303,160.1686211295,0.3377848314,97.4767136356,-0.0038656829,43.8939051049,-0.1482617837,35.9448652504,0.1258846981,Live
Extract1030.png,68516.3566317875,5387.6479879592,236.9530680993,100.1691399999,162.9399673469,432.8070755025,924.1479153835,110.3191726996,-3.7916083825,101.8207171863,1.1541018211,136.9705315938,0.2874849671,52.2793889396,0.0133080395,16.0465703748,0.0108272443,Fake
Extract1031.bmp,66601.4742199116,7176.4769205173,420.4230284957,97.1756713538,158.4378693878,399.892276129,898.7989638484,166.1764776534,0.5017455535,158.6152271898,-0.3395271472,102.4214425942,0.1572327412,46.6905284144,0.1554371292,18.1631032047,0.0109080447,Live
Extract1031.png,69747.4598955474,6582.0391187067,353.6590935525,105.951392244,163.192555102,492.0104714005,925.5697825148,128.3255235497,-0.3325462941,90.3886126324,-1.5336768847,111.3914953459,0.0426669783,60.6638485707,-0.033278633,18.0471435853,-0.0777760899,Fake
Extract1032.bmp,71915.1381044338,12658.3699100907,1308.0353369852,72.4210366174,191.7885469388,151.3606549105,1086.3904185329,148.5416448666,-5.0833133105,138.8377387928,-1.2410186947,94.8266016837,-0.0900695083,54.6590822414,0.1764132342,39.1622912247,-0.3264339095,Live
Extract1032.png,72322.7712914767,4473.1954335444,163.3426725443,106.0431821504,171.3789795918,520.048978613,971.6642534024,125.0036838471,-1.2376024056,78.9602154421,-1.9655781262,95.7980548895,-0.1302797125,51.9834466876,-0.0422403185,12.7267025782,-0.0556945138,Fake
Extract1033.bmp,59130.6596512802,7848.1110862721,502.7987561018,77.9640743094,145.7005877551,255.4884865842,827.0777884505,118.2917864149,2.4864409411,122.4501194149,1.8641737363,125.5155212111,-0.0632926675,41.2871857211,-0.0470694621,24.8520250388,0.0790688952,Live
Extract1033.png,70840.2639907948,6025.3221192194,296.3633195131,102.1852168508,169.8432081633,483.4598886306,963.0176298228,131.6901345137,-1.9599808195,105.4531245497,3.9362516358,97.6130938421,0.1114608254,47.9384957222,0.1235469763,16.0684405165,0.0116237047,Fake
Extract1034.bmp,66979.5573367991,4246.4539350705,147.2030287565,94.3865970051,160.9965469388,457.3157312185,913.2055128831,123.8909286302,2.5653852038,122.1525473712,1.2873623657,77.1901865643,0.099908867,24.0741999886,0.0564971492,12.3911578252,0.0127549094,Live
Extract1034.png,71533.7639880468,5080.4482777029,210.7016710401,105.8343826419,168.9180979592,528.4489279865,957.8082637989,158.4036673928,-3.8286446191,109.0824807675,0.1415960807,72.6857036355,-0.1978211945,28.4310063009,-0.0131485695,11.9025233932,-0.0185263616,Fake
Extract1035.bmp,63379.9153088359,9291.7621279837,704.7905587186,84.8015969623,156.7077714286,228.6399547312,889.1394456537,131.8079821891,-3.1099332045,117.0239315732,-0.3080577077,147.8933955084,0.169257516,61.0869994565,-0.1756578959,32.4851410054,-0.239162608,Live
Extract1035.png,70357.3704910561,5766.0984472542,271.411357579,102.7825536391,167.7217142857,457.1714545194,951.0668087802,145.7944780139,0.2212898179,138.9993530061,1.6065065726,110.0162829837,0.0137297654,45.7917273506,0.0467603195,15.5877787548,0.0087264357,Fake
Extract1036.bmp,69418.9284156855,5972.5281466067,291.1925915266,92.5997781035,170.9331673469,309.0132452844,969.1604655672,188.0137418192,7.7756102593,164.1545334343,-0.172457239,134.4474947728,0.3932763287,39.7469989178,-0.0908371112,17.6152683707,0.1474144322,Live
Extract1036.png,71819.2815131183,4942.0813367911,199.3809627711,104.4664328673,170.7155673469,469.0155333745,967.9290283692,127.7910967893,-2.3494511327,159.5052315544,-0.3273968152,109.0105908955,-0.1426454923,37.927096737,-0.1314034725,13.1455805432,0.0131011965,Fake
Extract1037.bmp,68427.6123311686,9482.3149854872,733.9942651755,91.660176163,169.6041959184,414.3175796825,961.5750474666,133.3732277928,1.293370355,112.0647130775,-1.1011950417,87.8727537442,-0.0660604808,41.0797313366,-0.0439603627,24.9349250723,0.161873026,Live
Extract1037.png,70480.9447377875,5482.3580337107,245.3571396718,98.2426630837,171.1294857143,436.2079234068,970.2580072059,109.1753016285,1.7560064599,79.7974813801,0.5371533011,115.407933388,0.196304589,66.7533016037,-0.019128931,17.7167753491,-0.0694190271,Fake
Extract1038.bmp,75127.5347348085,7982.8404635335,520.2101376835,68.3563923301,200.7288816327,182.2064102654,1136.0940262623,180.913908139,1.4307111469,145.7538342609,0.3312561483,66.10868224,0.1281761036,35.4169050264,-0.036027406,28.8880817203,0.32703428,Live
Extract1038.png,70183.1396685268,5410.4588855127,238.9637987904,103.4320498678,166.586277551,491.8763320463,944.6795857081,142.4317524439,1.3641768428,104.6843565264,0.1646001255,100.389095019,-0.1464459627,42.1759224009,0.1236282025,14.7947625794,-0.0053443647,Fake
Extract1039.bmp,70002.5692174074,5628.3031412258,258.5942550982,103.2776041807,165.5859591837,474.3749566216,939.0464466063,142.6792687875,0.0075833479,121.6033303727,-1.6199638319,107.8904355156,-0.1270301769,45.403860681,0.022957316,14.1737657801,0.066417872,Live
Extract1039.png,66780.4187457471,6759.1280399493,372.9454029423,98.329156156,158.5132734694,402.7584810775,899.2266273357,121.7849812718,-1.3182678684,127.2958185345,0.1982137259,139.2233374522,-0.18419495,43.3272130187,-0.0283112918,22.1263114601,0.1190766019,Fake
Extract104.bmp,77441.584678839,6646.3403960021,360.6027808941,76.272441581,204.3826040816,150.5852761848,1157.5006863173,197.7633115209,-4.7298247634,198.8993205484,-0.2932084923,84.862257722,0.1125829273,31.3380244306,0.0337327218,23.1117840674,-0.0688573307,Live
Extract104.png,71315.0364854902,4465.0458086349,162.7480332507,108.4588866359,166.3366938776,564.2958566524,943.2735055722,141.2180595716,-1.2910631282,87.3752241428,-1.940735201,58.5919179388,0.2498672584,28.8835546317,0.0190755822,10.9126377372,-0.0302077808,Fake
Extract1040.bmp,66272.1637707009,8496.382928105,589.2940641714,81.2096262138,168.5848408163,166.6938772491,955.5056182732,123.634844832,7.3285142092,183.034871015,-0.2721944417,132.196398953,-0.1239119282,45.1958620144,0.0773871863,30.6727907251,0.1359742689,Live
Extract1040.png,69682.6114608603,6167.8040099864,310.5453575968,95.3350905881,170.0341142857,319.3085656086,964.0892998582,191.6712068684,-0.2694377714,188.7425704945,2.2332965142,127.6540135431,-0.3950642434,37.646263249,0.098127348,16.9833020373,-0.0383108997,Fake
Extract1041.bmp,62878.7429646713,9626.0556427976,756.4158958223,70.4762911775,163.5785469388,201.1997277716,927.5942220219,145.339661656,-2.0548286375,130.3973544985,0.357102827,88.686429036,-0.1437569709,43.3730801784,0.0833028111,33.1570071381,0.1930812512,Live
Extract1041.png,71763.9817620397,4946.3186361738,199.7230044944,107.009169918,169.6344163265,530.2219133266,961.8416036486,146.4657311676,-2.7963934551,105.9446843973,-0.746044548,79.8031941617,0.1718551141,38.831400159,-0.0198944984,14.6616388755,-0.0401923932,Fake
Extract1042.bmp,64935.5169338974,7049.3723425645,405.6624524417,86.98661839,159.5684571429,228.1327755941,905.2081360699,141.9348631679,-2.3606463916,147.4159015117,-0.618015589,158.4517524779,0.0101550674,49.5013013033,-0.0849990102,21.4244612574,0.1520378641,Live
Extract1042.png,71234.3577155468,5728.5244737444,267.8856542554,102.7320694043,171.0740489796,472.1431024426,969.9478932452,111.2777520036,1.6945127164,80.692139011,0.9521563787,119.2701404212,-0.0808656801,57.1918117333,-0.0379354851,19.6525225884,-0.0334628799,Fake
Extract1043.bmp,60079.2646345435,7398.1435546773,446.7961473928,80.1448222352,147.3975428571,315.5979800373,836.6264970251,117.9728976825,-1.5146124284,122.5654164415,-0.5560997269,100.0513725879,0.2662199432,38.4613730524,-0.0038919668,26.4571805804,0.1730858516,Live
Extract1043.png,68070.0717075974,5493.5318630532,246.3583047378,100.961158641,160.4861142857,484.7625842826,910.3314476915,121.1809155975,-2.9808707832,124.6392708784,-0.2047837988,90.3433047568,-0.1338246215,33.6520738703,0.1301014536,15.3413879888,-0.0045132756,Fake
